"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Japan Airlines #JAL First Class Boeing 777-300ER San Francisco #SFO to #Tokyo Haneda HND review #travel… https://t.co/JqEAn9N5O0",FALSE,0,NA,2020-02-01 21:42:54,TRUE,NA,"1223723422729023490",NA,"<a href=""https://everybodyhatesatourist.net"" rel=""nofollow"">Revive Old Post EHAT</a>","ehatourist",0,FALSE,FALSE,NA,NA
"2","RT @AuthorGusPegel: Life is short...make every single book count 📚 #TuesdayThoughts 
Drive and Stay Alive in #Afghanistan
One Won't Make It…",FALSE,0,NA,2020-02-01 21:42:16,FALSE,NA,"1223723263060135936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Nblackthorne",131,TRUE,FALSE,NA,NA
"3","Sun Sensitive in SoCal: A Survival https://t.co/KVYoZzj4Be #asia #california #malaysia #northamerica #singapore #sunsensitivity #travel",FALSE,1,NA,2020-02-01 21:07:08,FALSE,NA,"1223714421962199040",NA,"<a href=""https://semibudgettravel.com"" rel=""nofollow"">Share Posts to Twitter - SBT</a>","semibudgettrvl",0,FALSE,FALSE,NA,NA
"4","RT @341_SA: “ Searching For Truth ""

Dr.  Laurence Brown

https://t.co/jauMfGOFGZ

#NBA  #NBAnaESPN  #news  #USA
#UK  #China #Chinese  #Aus…",FALSE,0,NA,2020-02-01 20:38:50,FALSE,NA,"1223707301779034112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a7lanona11",14,TRUE,FALSE,NA,NA
"5","RT @StoopidGenius87: https://t.co/LHH9S0WEPk

GIVEAWAY IS STILL GOING. TRAVEL FOR LESS TO YOUR DREAM DESTINATION!

ENDS TONIGHT AT 11:59PM…",FALSE,0,NA,2020-02-01 20:25:16,FALSE,NA,"1223703885669380096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mrxcluziive",1,TRUE,FALSE,NA,NA
"6","Explore Sarawak Culture Beyond Kuching (Orangutans, Jungle, Longhouses, &amp; More!) https://t.co/EELqIYNrqE #asia #malaysia #travel",FALSE,0,NA,2020-02-01 20:07:00,FALSE,NA,"1223699288150048768",NA,"<a href=""https://semibudgettravel.com"" rel=""nofollow"">Share Posts to Twitter - SBT</a>","semibudgettrvl",0,FALSE,FALSE,NA,NA
"7","RT @GDTraveltips: GD travel in VIETNAM - World's Longest Cable Car Ride - Phu Quoc to Pineapple Island, Vietnam. See the views from on boar…",FALSE,0,NA,2020-02-01 19:53:05,FALSE,NA,"1223695787915382787",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","GDTraveltips",1,TRUE,FALSE,NA,NA
"8","https://t.co/LHH9S0WEPk

GIVEAWAY IS STILL GOING. TRAVEL FOR LESS TO YOUR DREAM DESTINATION!

ENDS TONIGHT AT 11:59… https://t.co/7WpGoDOCnm",FALSE,1,NA,2020-02-01 19:43:07,TRUE,NA,"1223693278169763843",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","StoopidGenius87",1,FALSE,FALSE,NA,NA
"9","RT @341_SA: “ Searching For Truth ""

Dr.  Laurence Brown

https://t.co/jauMfGOFGZ

#NBA  #NBAnaESPN  #news  #USA
#UK  #China #Chinese  #Aus…",FALSE,0,NA,2020-02-01 19:17:38,FALSE,NA,"1223686867733897217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JanHussam",14,TRUE,FALSE,NA,NA
"10","RT @341_SA: “ Searching For Truth ""

Dr.  Laurence Brown

https://t.co/jauMfGOFGZ

#NBA  #NBAnaESPN  #news  #USA
#UK  #China #Chinese  #Aus…",FALSE,0,NA,2020-02-01 19:07:03,FALSE,NA,"1223684200970276868",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M4Daw",14,TRUE,FALSE,NA,NA
