"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @341_SA: “ Searching For Truth ""

Dr.  Laurence Brown

https://t.co/jauMfGOFGZ

#NBA  #NBAnaESPN  #news  #USA
#UK  #China #Chinese  #Aus…",FALSE,0,NA,2020-02-01 17:53:37,FALSE,NA,"1223665720753561603",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mazen_braik",9,TRUE,FALSE,NA,NA
"2","View of Agios Efstratios, Greece

#culture #geography #science #world #life #art #education #writing #research… https://t.co/aOmRS68nIs",FALSE,0,NA,2020-02-01 17:46:07,TRUE,NA,"1223663836311511040",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","sarass08",0,FALSE,FALSE,NA,NA
"3","Everything #us Travelers Need to Know About the ETIAS #Travel Authorization for #Europe https://t.co/h1NwUf9Kyv",FALSE,0,NA,2020-02-01 17:45:38,FALSE,NA,"1223663713347100676",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","smboro",0,FALSE,FALSE,NA,NA
"4","RT @341_SA: “ Searching For Truth ""

Dr.  Laurence Brown

https://t.co/jauMfGOFGZ

#NBA  #NBAnaESPN  #news  #USA
#UK  #China #Chinese  #Aus…",FALSE,0,NA,2020-02-01 17:42:22,FALSE,NA,"1223662890235895809",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dk_hil",9,TRUE,FALSE,NA,NA
"5","@96% dos meus moods🙃
•
•
•
•

#lomotif #paris #france #london #love #fashion #art #photography #travel #newyork… https://t.co/kh2KvJTdov",FALSE,1,"96",2020-02-01 17:38:12,TRUE,NA,"1223661844142804992","10339452","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Juray72",0,FALSE,FALSE,"2.71340648","48.67916368"
"6","RT @BackpackerAsia: #travel #backpacking #europe #hungary #backpacker #backpackerlife #backpackerhostel #budapest #hostel #youthhostel #eur…",FALSE,0,NA,2020-02-01 17:19:10,FALSE,NA,"1223657052947591169",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BackpackerAsia",2,TRUE,FALSE,NA,NA
"7","RT @pfix806: Portofino, Italy 📸🌍
#portofino #italy #italia #travelphotography #travelphoto #tourisme  #travel #europe https://t.co/H2ePzfkF…",FALSE,0,NA,2020-02-01 17:15:48,FALSE,NA,"1223656205647663106",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","YoushowmeP",5,TRUE,FALSE,NA,NA
"8","In Photos: Mount Pilatus, Switzerland: https://t.co/BFf53XvOPt #Travel #Switzerland #Europe",FALSE,0,NA,2020-02-01 17:10:03,FALSE,NA,"1223654760533889024",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","LolaAkinmade",0,FALSE,FALSE,NA,NA
"9","Municipales 2020 https://t.co/lYyaSdWro0
#eiffeltower  #paris #france  #toureiffel #travel  #love #parisjetaime #europe #photography #eiffel",FALSE,0,NA,2020-02-01 17:07:16,FALSE,NA,"1223654056398401536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","radiotamtamgabo",0,FALSE,FALSE,NA,NA
"10","RT @pfix806: Portofino, Italy 📸🌍
#portofino #italy #italia #travelphotography #travelphoto #tourisme  #travel #europe https://t.co/H2ePzfkF…",FALSE,0,NA,2020-02-01 17:06:52,FALSE,NA,"1223653957765124096",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Amali20211",5,TRUE,FALSE,NA,NA
