"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @voyagenfrancais: [LOS ANGELES en français ]Très bon week-end à tous 😉 Griffith Park et son observatoire 👍

https://t.co/DZWygvcDUy

#LA…",FALSE,0,NA,2020-02-01 21:27:37,FALSE,NA,"1223719577114292224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lex57100",1,TRUE,FALSE,NA,NA
"2","TSA considers self-service security scans? -- GCN https://t.co/x1mABjLXpd #homelandsecurity #dhs #TSA… https://t.co/KOiFDeEvlJ",FALSE,0,NA,2020-02-01 21:19:01,TRUE,NA,"1223717411486085126",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","AegisSecurityPI",0,FALSE,FALSE,NA,NA
"3","Memories of this location in Yellowstone emerged at the news of the passing of Kobe Bryant. #travel #USA… https://t.co/QFqpKC2AGY",FALSE,0,NA,2020-02-01 21:16:13,TRUE,NA,"1223716707337850880",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","JeanHuangPhotog",0,FALSE,FALSE,NA,NA
"4","RT @EnjoyNature: Amazing nountains and colors at Grand Teton national park in Wyoming

#nature #travel #usa https://t.co/FWtvvNLxz6",FALSE,0,NA,2020-02-01 21:02:09,FALSE,NA,"1223713168075231234",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TEHoltz",165,TRUE,FALSE,NA,NA
"5","#Pennsylvania boasts of rugged mountain trails, secluded forests and a waterway. It also features some significant… https://t.co/F5WCwaDBeD",FALSE,0,NA,2020-02-01 21:00:00,TRUE,NA,"1223712629363019777",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>","TravelWithMOW",0,FALSE,FALSE,NA,NA
"6","RT @GeoBoxers: A Minecraft version of Tulsa

Made from real-world #OpenData: https://t.co/AHH7g5klHb

#Minecraft #Earth #world #MinecraftEd…",FALSE,0,NA,2020-02-01 20:57:59,FALSE,NA,"1223712119029411846",NA,"<a href=""http://www.fingo.rog"" rel=""nofollow"">Fingo2</a>","fingo_org",3,TRUE,FALSE,NA,NA
"7","RT @KendallHarmon6: 'The day after he received the drug, his temperature dropped from almost 103 degrees Fahrenheit to 99.1, reaching the n…",FALSE,0,NA,2020-02-01 20:55:12,FALSE,NA,"1223711418748456960",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GreenMonsterah",1,TRUE,FALSE,NA,NA
"8","RT @EnjoyNature: Amazing nountains and colors at Grand Teton national park in Wyoming

#nature #travel #usa https://t.co/FWtvvNLxz6",FALSE,0,NA,2020-02-01 20:51:50,FALSE,NA,"1223710570852974593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OJIJIOHYA",165,TRUE,FALSE,NA,NA
"9","RT @EnjoyNature: Amazing nountains and colors at Grand Teton national park in Wyoming

#nature #travel #usa https://t.co/FWtvvNLxz6",FALSE,0,NA,2020-02-01 20:50:17,FALSE,NA,"1223710181059694593",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DankaPetrusic",165,TRUE,FALSE,NA,NA
"10","RT @TrimmTravels: Mall of America Attractions: The Highlights + Where to Stay! https://t.co/9xNC6bLuCg | #minneapolis #minnesota #travel #f…",FALSE,0,NA,2020-02-01 20:44:54,FALSE,NA,"1223708828480475138",NA,"<a href=""http://moqilmoqil.info"" rel=""nofollow"">moqil moqil</a>","mOQIl",1,TRUE,FALSE,NA,NA
"11","'The day after he received the drug, his temperature dropped from almost 103 degrees Fahrenheit to 99.1, reaching t… https://t.co/jwT3jAEBGM",FALSE,1,NA,2020-02-01 20:44:49,TRUE,NA,"1223708804900179969",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","KendallHarmon6",1,FALSE,FALSE,NA,NA
"12","Mall of America Attractions: The Highlights + Where to Stay! https://t.co/9xNC6bLuCg | #minneapolis #minnesota… https://t.co/fNDgRcqaHo",FALSE,1,NA,2020-02-01 20:43:57,TRUE,NA,"1223708590097170438",NA,"<a href=""https://coschedule.com"" rel=""nofollow"">CoSchedule</a>","TrimmTravels",1,FALSE,FALSE,NA,NA
"13","RT @EnjoyNature: Amazing nountains and colors at Grand Teton national park in Wyoming

#nature #travel #usa https://t.co/FWtvvNLxz6",FALSE,0,NA,2020-02-01 20:41:35,FALSE,NA,"1223707991029043201",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","auberginenfall",165,TRUE,FALSE,NA,NA
"14","RT @341_SA: “ Searching For Truth ""

Dr.  Laurence Brown

https://t.co/jauMfGOFGZ

#NBA  #NBAnaESPN  #news  #USA
#UK  #China #Chinese  #Aus…",FALSE,0,NA,2020-02-01 20:38:50,FALSE,NA,"1223707301779034112",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a7lanona11",14,TRUE,FALSE,NA,NA
